,price,Address,area,Bedrooms,Bathrooms,neworold,type_of_building,Address_Values
104,17500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",717.0,2,2,0,0,129.0
106,24000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1100.0,2,2,0,0,129.0
107,45000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",2285.0,2,2,0,0,129.0
108,21000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",855.0,2,2,0,0,129.0
109,21000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1060.0,2,2,0,0,129.0
110,25000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",880.0,2,2,0,0,129.0
111,24500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",975.0,2,2,0,0,129.0
112,23500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1125.0,2,2,0,0,129.0
113,21500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1150.0,2,2,0,0,129.0
115,19000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",800.0,2,2,0,0,129.0
116,20000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",650.0,2,2,0,0,129.0
117,26500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",986.0,2,2,0,0,129.0
118,23000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",715.0,2,2,0,0,129.0
119,18000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",625.0,2,2,0,0,129.0
120,24000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1175.0,2,2,0,0,129.0
121,23500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,0,129.0
122,21000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",875.0,2,2,0,0,129.0
123,20000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",800.0,2,2,0,0,129.0
124,15000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",575.0,2,2,0,0,129.0
126,18000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",777.0,2,2,0,0,129.0
127,20000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",850.0,2,2,0,0,129.0
128,17600000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",745.0,2,2,0,0,129.0
130,54000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1850.0,3,3,0,0,129.0
131,131000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",4000.0,5,4,0,0,129.0
132,35000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1085.0,3,2,1,0,129.0
133,24000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1065.0,2,2,0,1,129.0
134,24000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1150.0,2,2,0,0,129.0
135,18500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",920.0,2,2,0,0,129.0
136,24500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,0,129.0
137,70000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",2500.0,4,5,0,0,129.0
138,29000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,0,129.0
139,18500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",850.0,2,2,0,1,129.0
143,16500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",745.0,2,2,1,0,129.0
144,19000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1000.0,2,2,0,0,129.0
145,23000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1000.0,2,2,0,0,129.0
146,33000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1100.0,2,2,1,0,129.0
148,20000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",800.0,2,2,0,0,129.0
149,18000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",946.0,2,2,0,0,129.0
151,25000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",850.0,2,2,0,0,129.0
152,27500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1370.0,2,2,0,0,129.0
153,33000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1040.0,2,2,0,0,129.0
154,13000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",642.0,2,2,1,0,129.0
155,15500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",650.0,2,2,0,0,129.0
156,20000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",960.0,2,2,0,0,129.0
157,15300000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",800.0,2,2,0,0,129.0
158,15000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",510.0,2,2,0,0,129.0
159,25000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",935.0,2,2,0,1,129.0
161,26500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1300.0,2,2,0,0,129.0
162,57500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1800.0,4,3,0,0,129.0
163,28000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1350.0,2,2,0,0,129.0
164,27500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1190.0,2,2,0,0,129.0
165,24000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",865.0,2,2,0,0,129.0
166,37500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1155.0,2,2,0,1,129.0
167,48000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1550.0,3,3,0,0,129.0
168,40000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1400.0,3,2,0,0,129.0
169,35000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1200.0,2,2,0,0,129.0
170,21000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",800.0,2,2,0,1,129.0
171,34200000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1300.0,3,4,0,0,129.0
172,15800000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",600.0,2,2,0,0,129.0
173,14000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",630.0,2,2,0,0,129.0
174,34000000.0,"Bandra East, Mumbai - Western Suburbs, Maharashtra",850.0,2,2,0,0,11.0
175,32500000.0,"Bandra East, Mumbai - Western Suburbs, Maharashtra",1200.0,2,2,0,0,11.0
176,100000000.0,"Bandra East, Mumbai - Western Suburbs, Maharashtra",2500.0,3,4,0,0,11.0
177,29900000.000000004,"Bandra East, Mumbai - Western Suburbs, Maharashtra",780.0,2,2,0,0,11.0
179,87500000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",1740.0,3,4,1,0,21.0
180,73000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",1330.0,3,3,0,0,21.0
181,23000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",630.0,2,2,0,0,21.0
182,175000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",3250.0,3,3,0,0,21.0
183,47000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",1100.0,3,2,0,0,21.0
184,76000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",1186.0,4,4,0,0,21.0
185,42500000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",775.0,2,2,0,0,21.0
186,160000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",3000.0,4,4,0,0,21.0
187,42000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",1016.0,2,2,0,0,21.0
189,51000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",1200.0,3,3,0,0,21.0
190,55000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",1000.0,3,3,0,0,21.0
191,40000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",950.0,3,2,0,0,21.0
192,33000000.0,"Bandra West, Mumbai - Western Suburbs, Maharashtra",750.0,2,2,0,0,21.0
193,19000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1233.0,2,2,1,0,38.0
194,14200000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",960.0,2,2,0,0,38.0
195,18500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1045.0,2,2,0,1,38.0
196,15000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",852.0,2,2,0,0,38.0
197,14000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1010.0,2,2,0,0,38.0
198,16500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",960.0,2,2,0,0,38.0
199,13000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",850.0,2,2,0,0,38.0
201,13500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",950.0,2,2,0,0,38.0
